Designator,Mid X,Mid Y,Rotation,Layer
C1,164.5,-44.6,180.0,top
C2,169.0,-44.6,180.0,top
C3,196.8,-43.8,0.0,top
C4,196.8,-46.2,0.0,top
C5,196.8,-49.0,0.0,top
C6,169.8,-66.0,0.0,top
C7,169.59,-68.25,0.0,top
D1,202.3375,-67.8,0.0,top
D2,165.5,-57.0,270.0,top
D3,165.5,-61.5,270.0,top
D4,163.0,-62.0,270.0,top
FID1,197.2,-61.35,0.0,top
FID2,160.4,-68.3,0.0,top
FID3,161.7,-57.9,0.0,top
J1,155.21,-59.5,270.0,top
J2,155.6,-48.23,0.0,top
R1,159.8,-47.0,0.0,top
R10,177.2,-65.0,180.0,top
R11,185.6,-68.2,90.0,top
R12,184.6,-63.8,0.0,top
R13,192.6,-52.2875,270.0,top
R2,192.0,-45.2,270.0,top
R3,168.5,-60.0,180.0,top
R4,168.5,-58.0,180.0,top
R5,198.0,-53.8,0.0,top
R6,167.2,-46.8,180.0,top
R7,163.2875,-51.8,180.0,top
R8,159.8,-49.4,0.0,top
R9,181.0,-65.0,0.0,top
SW1,201.8,-44.6,180.0,top
SW2,201.8,-49.8,180.0,top
U1,181.0,-49.0,0.0,top
U2,166.0,-67.4875,90.0,top
U3,192.4,-66.8,90.0,top
